,user,text,favorite_count,retweet_count,created_at
22,narendramodi,"महाद्रिपार्श्वे च तटे रमन्तं सम्पूज्यमानं सततं मुनीन्द्रैः।

सुरासुरैर्यक्षमहोरगाद्यै: केदारमीशं शिवमेकमीडे।। https://t.co/E8WC7oLddi",109967,15958,2022-10-21 05:54:16+00:00
23,narendramodi,અમે આદિવાસી સમુદાયના મહાન લોકોની સ્મૃતિને જાળવી રાખવા માટે પ્રતિબદ્ધ છીએ. https://t.co/RLy8lDtxey,10649,3204,2022-10-20 16:05:18+00:00
24,narendramodi,"અમે લોકો વર્ષોથી, મારા આદિવાસી ભાઈઓ અને બહેનોનું પોતાનું પાકું ઘર બને, ઘરમાં 24 કલાક વીજળી તથા ગેસ કનેક્શન હોય, ઘરમાં શૌચાલય હોય તથા ઘર સુધી જવાનો પાકો રસ્તો હોય, ઘરની નજીક મેડિકલ સેન્ટર તથા શાળા હોય, ઘરની આસપાસ આજીવિકાનું સાધન હોય તે માટે કામ કરી રહ્યા છે. https://t.co/lfcr3HdV08",6803,2512,2022-10-20 16:04:45+00:00
25,narendramodi,"આદિવાસી ભાઈઓ અને બહેનોના કલ્યાણ માટે અમે મહેનત કરી રહ્યા છે.

પણ જુના દિવસો યાદ કરો...કોંગ્રેસની સરકારે આદિવાસીઓના ઉજ્જવળ ભવિષ્યની ક્યારેય ચિંતા નથી કરી. કોંગ્રેસના લોકો આદિવાસી પરંપરાની પણ મજાક ઉઠાવે છે. 

અમે ઇચ્છીએ છે કે આદિવાસી સમાજ શક્તિશાળી બને. https://t.co/CkO1yiVwQW",6751,2542,2022-10-20 16:04:17+00:00
26,narendramodi,"From Vyara, various projects are being launched, which will further Gujarat's growth trajectory. https://t.co/bPtEkZtE6P",12087,4059,2022-10-20 10:48:05+00:00
27,narendramodi,Sharing highlights from the programmes yesterday in various parts of Gujarat! https://t.co/KOUVSd0n1c,11613,4279,2022-10-20 09:13:14+00:00
28,narendramodi,"We are honoured by the presence of @UN Secretary General, Mr. @antonioguterres for the launch of Mission LiFE. Had a wonderful meeting with him in Kevadia. https://t.co/2LYqyFNBNj",26679,5718,2022-10-20 09:12:46+00:00
29,narendramodi,प्रगति भी और प्रकृति भी… https://t.co/gadp0KLE9z,21542,5867,2022-10-20 09:09:12+00:00
30,narendramodi,"A glimpse of India’s efforts in water conservation, waste to wealth, renewable energy and more… https://t.co/zubGoVR9Y8",8793,3478,2022-10-20 09:08:16+00:00
31,narendramodi,Time to reignite Mahatma Gandhi’s principle of trusteeship. https://t.co/TIZ2bmmNft,8910,3403,2022-10-20 09:07:46+00:00
